fullName,term,signAge,contractLength,totalValue,aav,isEntryLevel,signSeason,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Jordan Clarkson,2014-2015,22.0,2,1352395.0,676198.0,1,2013-14,76,194,1992-06-07,2,46,2014,False
Cory Jefferson,2014-2015,23.0,2,1352395.0,676198.0,1,2013-14,81,218,1990-12-26,2,60,2014,False
Bryce Cotton,2014-2015,21.0,2,1352395.0,676198.0,1,2013-14,73,165,1992-08-11,0,0,0,True
Alex Kirk,2014-2015,22.0,2,1352395.0,676198.0,1,2013-14,84,245,1991-11-14,0,0,0,True
Jerrelle Benimon,2014-2015,23.0,2,1352395.0,676198.0,1,2013-14,80,245,1991-08-01,0,0,0,True
Tarik Black,2014-2015,22.0,2,1352395.0,676198.0,1,2013-14,81,250,1991-11-22,0,0,0,True
Tyler Johnson,2014-2014,22.0,2,1352385.0,676193.0,1,2013-14,75,186,1992-05-07,0,0,0,True
Khem Birch,2014-2015,21.0,2,1352385.0,676193.0,1,2013-14,81,233,1992-09-28,0,0,0,True
K.J. McDaniels,2014-2014,21.0,1,507336.0,507336.0,1,2013-14,78,205,1993-02-09,2,32,2014,False
Glenn Robinson III,2014-2014,20.0,1,507336.0,507336.0,1,2013-14,78,222,1994-01-08,2,40,2014,False
Shayne Whittington,2014-2014,23.0,1,507336.0,507336.0,1,2013-14,83,250,1991-03-27,0,0,0,True
Sim Bhullar,2014-2014,21.0,1,507336.0,507336.0,1,2013-14,89,360,1992-12-02,0,0,0,True
Elijah Millsap,2014-2014,27.0,1,507336.0,507336.0,1,2013-14,78,225,1987-08-12,0,0,0,True
Langston Galloway,2014-2014,22.0,1,507336.0,507336.0,1,2013-14,73,200,1991-12-09,0,0,0,True
Travis Wear,2014-2014,23.0,1,507336.0,507336.0,1,2013-14,82,230,1990-09-21,0,0,0,True
Joe Ingles,2014-2014,26.0,1,507336.0,507336.0,1,2013-14,80,220,1987-10-02,0,0,0,True
Sean Kilpatrick,2014-2014,24.0,1,507336.0,507336.0,1,2013-14,76,210,1990-01-06,0,0,0,True
Karl-Anthony Towns,2015-2018,19.0,4,25720035.0,6430009.0,1,2014-15,83,248,1995-11-15,1,1,2015,False
D'Angelo Russell,2015-2018,18.0,4,23017978.0,5754495.0,1,2014-15,76,193,1996-02-23,1,2,2015,False
Willie Cauley-Stein,2015-2018,21.0,4,15350475.0,3837619.0,1,2014-15,84,240,1993-08-18,1,6,2015,False
Jahlil Okafor,2015-2017,19.0,3,14366640.0,4788880.0,1,2014-15,82,270,1995-12-15,1,3,2015,False
Emmanuel Mudiay,2015-2018,18.0,4,14020000.0,3505000.0,1,2014-15,75,200,1996-03-05,1,7,2015,False
Stanley Johnson,2015-2018,18.0,4,12850042.0,3212511.0,1,2014-15,78,242,1996-05-29,1,8,2015,False
Frank Kaminsky,2015-2018,21.0,4,11817962.0,2954491.0,1,2014-15,84,240,1993-04-04,1,9,2015,False
Mario Hezonja,2015-2017,19.0,3,11729640.0,3909880.0,1,2014-15,80,220,1995-02-25,1,5,2015,False
Nemanja Bjelica,2015-2017,26.0,3,11700000.0,3900000.0,1,2014-15,82,234,1988-05-09,2,35,2010,False
Justise Winslow,2015-2018,18.0,4,11229126.0,2807282.0,1,2014-15,78,222,1996-03-26,1,10,2015,False
Myles Turner,2015-2018,18.0,4,10801804.0,2700451.0,1,2014-15,83,250,1996-03-24,1,11,2015,False
Trey Lyles,2015-2018,19.0,4,10386049.0,2596512.0,1,2014-15,81,234,1995-11-05,1,12,2015,False
Devin Booker,2015-2018,18.0,4,9985165.0,2496291.0,1,2014-15,77,206,1996-10-30,1,13,2015,False
Cameron Payne,2015-2018,20.0,4,9600735.0,2400184.0,1,2014-15,73,183,1994-08-08,1,14,2015,False
Kelly Oubre Jr.,2015-2018,19.0,4,9228550.0,2307138.0,1,2014-15,79,203,1995-12-09,1,15,2015,False
Terry Rozier,2015-2018,20.0,4,8769710.0,2192428.0,1,2014-15,73,190,1994-03-17,1,16,2015,False
Rashad Vaughn,2015-2017,18.0,4,8334685.0,2083671.0,1,2014-15,78,202,1996-08-16,1,17,2015,False
Sam Dekker,2015-2018,20.0,4,7921655.0,1980414.0,1,2014-15,81,230,1994-05-06,1,18,2015,False
Jerian Grant,2015-2018,22.0,4,7568554.0,1892139.0,1,2014-15,76,205,1992-10-09,1,19,2015,False
Delon Wright,2015-2018,22.0,4,7268738.0,1817185.0,1,2014-15,77,185,1992-04-26,1,20,2015,False
Justin Anderson,2015-2018,21.0,4,7058648.0,1764662.0,1,2014-15,78,230,1993-11-19,1,21,2015,False
Bobby Portis,2015-2018,19.0,4,6855506.0,1713877.0,1,2014-15,82,250,1995-02-10,1,22,2015,False
Rondae Hollis-Jefferson,2015-2018,19.0,4,6672819.0,1668205.0,1,2014-15,78,217,1995-01-03,1,23,2015,False
Tyus Jones,2015-2018,18.0,4,6537195.0,1634299.0,1,2014-15,72,196,1996-05-10,1,24,2015,False
Jarell Martin,2015-2018,20.0,4,6404604.0,1601151.0,1,2014-15,82,239,1994-05-24,1,25,2015,False
Larry Nance Jr.,2015-2018,21.0,4,6107053.0,1526763.0,1,2014-15,79,245,1993-01-01,1,27,2015,False
Richaun Holmes,2015-2018,21.0,4,5171902.0,1292976.0,1,2014-15,82,235,1993-10-15,2,37,2015,False
Chris McCullough,2015-2017,19.0,3,3803102.0,1267701.0,1,2014-15,83,200,1995-02-05,1,29,2015,False
Jordan Mickey,2015-2017,21.0,3,3670959.0,1223653.0,1,2014-15,80,235,1994-07-09,2,33,2015,False
Josh Huestis,2015-2017,23.0,3,3574560.0,1191520.0,1,2014-15,79,230,1991-12-19,1,29,2014,False
Kevon Looney,2015-2017,18.0,3,3548640.0,1182880.0,1,2014-15,81,222,1996-02-06,1,30,2015,False
Rakeem Christmas,2015-2017,23.0,3,3157026.0,1052342.0,1,2014-15,81,250,1991-12-01,2,36,2015,False
Raul Neto,2015-2017,23.0,3,2732546.0,910849.0,1,2014-15,73,180,1992-05-19,2,47,2013,False
Sasha Kaun,2015-2016,30.0,2,2609420.0,1304710.0,1,2014-15,83,260,1985-05-08,2,56,2008,False
Anthony Brown,2015-2017,22.0,3,2589382.0,863127.0,1,2014-15,79,210,1992-10-10,2,34,2015,False
Norman Powell,2015-2017,22.0,3,2539382.0,846461.0,1,2014-15,75,215,1993-05-25,2,46,2015,False
Pat Connaughton,2015-2017,22.0,3,2514475.0,838158.0,1,2014-15,77,209,1993-01-06,2,41,2015,False
Josh Richardson,2015-2017,21.0,3,2414475.0,804825.0,1,2014-15,77,200,1993-09-15,2,40,2015,False
Luis Montero,2015-2017,22.0,3,2414475.0,804825.0,1,2014-15,79,185,1993-04-06,0,0,0,True
Christian Wood,2015-2017,19.0,3,2414475.0,804825.0,1,2014-15,82,214,1995-09-27,0,0,0,True
R.J. Hunter,2015-2016,21.0,2,2348880.0,1174440.0,1,2014-15,77,185,1993-10-24,1,28,2015,False
Thanasis Antetokounmpo,2015-2016,23.0,2,1399729.0,699865.0,1,2014-15,78,219,1992-07-18,2,51,2014,False
Aaron Harrison,2015-2016,20.0,2,1399729.0,699865.0,1,2014-15,78,210,1994-10-28,0,0,0,True
Cliff Alexander,2015-2016,19.0,2,1399729.0,699865.0,1,2014-15,80,245,1995-11-16,0,0,0,True
Michael Frazier,2015-2016,21.0,2,1399729.0,699865.0,1,2014-15,75,200,1994-03-08,0,0,0,True
Treveon Graham,2015-2015,21.0,1,525093.0,525093.0,1,2014-15,77,219,1993-10-28,0,0,0,True
Marcelo Huertas,2015-2015,32.0,1,525093.0,525093.0,1,2014-15,75,200,1983-05-25,0,0,0,True
Briante Weber,2015-2015,22.0,1,525093.0,525093.0,1,2014-15,74,165,1992-12-29,0,0,0,True
Julian Washburn,2015-2015,23.0,1,525093.0,525093.0,1,2014-15,80,210,1991-12-18,0,0,0,True
Ben Simmons,2016-2019,19.0,4,26620450.0,6655113.0,1,2015-16,83,240,1996-07-20,1,1,2016,False
Brandon Ingram,2016-2019,18.0,4,23823685.0,5955921.0,1,2015-16,80,190,1997-09-02,1,2,2016,False
Jaylen Brown,2016-2019,19.0,4,21404269.0,5351067.0,1,2015-16,78,223,1996-10-24,1,3,2016,False
Dragan Bender,2016-2019,18.0,4,19302919.0,4825730.0,1,2015-16,84,225,1997-11-17,1,4,2016,False
Kris Dunn,2016-2019,22.0,4,17488287.0,4372072.0,1,2015-16,75,205,1994-03-18,1,5,2016,False
Buddy Hield,2016-2019,23.0,4,15887648.0,3971912.0,1,2015-16,76,220,1992-12-17,1,6,2016,False
Jamal Murray,2016-2019,19.0,4,14510706.0,3627677.0,1,2015-16,75,215,1997-02-23,1,7,2016,False
Marquese Chriss,2016-2019,19.0,4,13299636.0,3324909.0,1,2015-16,81,240,1997-07-02,1,8,2016,False
Jakob Poeltl,2016-2019,20.0,4,12231806.0,3057952.0,1,2015-16,85,245,1995-10-15,1,9,2016,False
Thon Maker,2016-2019,19.0,4,11622123.0,2905531.0,1,2015-16,84,221,1997-02-25,1,10,2016,False
Domantas Sabonis,2016-2019,20.0,4,11179555.0,2794889.0,1,2015-16,83,240,1996-05-03,1,11,2016,False
Taurean Prince,2016-2019,22.0,4,10749666.0,2687417.0,1,2015-16,79,218,1994-03-22,1,12,2016,False
Georgios Papagiannis,2016-2019,19.0,4,10334366.0,2583592.0,1,2015-16,85,240,1997-07-03,1,13,2016,False
Denzel Valentine,2016-2019,22.0,4,9936769.0,2484192.0,1,2015-16,76,220,1993-11-16,1,14,2016,False
Wade Baldwin,2016-2019,20.0,4,8626446.0,2156612.0,1,2015-16,76,200,1996-03-29,1,17,2016,False
Henry Ellenson,2016-2019,19.0,4,8199204.0,2049801.0,1,2015-16,82,240,1997-01-13,1,18,2016,False
Malik Beasley,2016-2019,19.0,4,7833514.0,1958379.0,1,2015-16,76,187,1996-11-26,1,19,2016,False
Caris LeVert,2016-2019,21.0,4,7523278.0,1880820.0,1,2015-16,78,205,1994-08-25,1,20,2016,False
DeAndre' Bembry,2016-2019,22.0,4,7305582.0,1826396.0,1,2015-16,77,210,1994-07-04,1,21,2016,False
Malachi Richardson,2016-2019,20.0,4,7095397.0,1773849.0,1,2015-16,78,205,1996-01-05,1,22,2016,False
Brice Johnson,2016-2019,22.0,4,6620352.0,1655088.0,1,2015-16,82,230,1994-06-27,1,25,2016,False
Pascal Siakam,2016-2019,22.0,4,6405441.0,1601360.0,1,2015-16,81,230,1994-04-02,1,27,2016,False
Dejounte Murray,2016-2019,19.0,4,6359377.0,1589844.0,1,2015-16,76,180,1996-09-19,1,29,2016,False
Damian Jones,2016-2019,21.0,4,6334179.0,1583545.0,1,2015-16,83,245,1995-06-30,1,30,2016,False
Mindaugas Kuzminskas,2016-2017,26.0,2,5923035.0,2961518.0,1,2015-16,81,215,1989-10-19,0,0,0,True
Demetrius Jackson,2016-2019,21.0,4,5473750.0,1368438.0,1,2015-16,73,201,1994-09-07,2,45,2016,False
Isaiah Whitehead,2016-2019,21.0,4,4585897.0,1146474.0,1,2015-16,76,213,1995-03-08,2,42,2016,False
Tyler Ulis,2016-2019,20.0,4,4000000.0,1000000.0,1,2015-16,70,160,1996-01-05,2,34,2016,False
Deyonta Davis,2016-2018,19.0,3,3922842.0,1307614.0,1,2015-16,83,237,1996-12-02,2,31,2016,False
Ivica Zubac,2016-2018,18.0,3,3892518.0,1297506.0,1,2015-16,84,240,1997-03-18,2,32,2016,False
Paul Zipser,2016-2019,22.0,4,3831631.0,957908.0,1,2015-16,80,215,1994-02-18,2,48,2016,False
Malcolm Brogdon,2016-2018,23.0,3,3782562.0,1260854.0,1,2015-16,77,229,1992-12-11,2,36,2016,False
Jake Layman,2016-2018,22.0,3,3457562.0,1152521.0,1,2015-16,80,209,1994-03-07,2,47,2016,False
Cheick Diallo,2016-2018,19.0,3,3401033.0,1133678.0,1,2015-16,80,219,1996-09-13,2,33,2016,False
Derrick Jones Jr.,2016-2018,19.0,3,3401033.0,1133678.0,1,2015-16,77,210,1997-02-15,0,0,0,True
Andrew Harrison,2016-2018,21.0,3,2982807.0,994269.0,1,2015-16,78,213,1994-10-28,2,44,2015,False
Stephen Zimmerman,2016-2018,19.0,3,2978250.0,992750.0,1,2015-16,84,240,1996-09-09,2,41,2016,False
A.J. Hammons,2016-2018,23.0,3,2605511.0,868504.0,1,2015-16,84,260,1992-08-27,2,46,2016,False
Joel Bolomboy,2016-2018,22.0,3,2555511.0,851837.0,1,2015-16,81,235,1994-01-28,2,52,2016,False
Chinanu Onuaku,2016-2018,19.0,3,2498982.0,832994.0,1,2015-16,82,245,1996-11-01,2,37,2016,False
Michael Gbinije,2016-2018,24.0,3,2498982.0,832994.0,1,2015-16,79,200,1992-06-05,2,49,2016,False
Georges Niang,2016-2018,23.0,3,2498982.0,832994.0,1,2015-16,79,230,1993-06-17,2,50,2016,False
Ben Bentil,2016-2018,21.0,3,2498982.0,832994.0,1,2015-16,81,235,1995-03-29,2,51,2016,False
Kay Felder,2016-2018,21.0,3,2498982.0,832994.0,1,2015-16,69,176,1995-03-29,2,54,2016,False
Marshall Plumlee,2016-2018,23.0,3,2498982.0,832994.0,1,2015-16,84,250,1992-07-14,0,0,0,True
Daniel Ochefu,2016-2018,22.0,3,2498982.0,832994.0,1,2015-16,83,245,1993-12-15,0,0,0,True
Okaro White,2016-2017,24.0,2,1523606.0,761803.0,1,2015-16,80,205,1992-08-13,0,0,0,True
Okaro White,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,80,205,1992-08-13,0,0,0,True
Patricio Garino,2016-2017,23.0,2,1462611.0,731306.0,1,2015-16,78,210,1993-05-17,0,0,0,True
Patricio Garino,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,78,210,1993-05-17,0,0,0,True
Patrick McCaw,2016-2017,20.0,2,1448720.0,724360.0,1,2015-16,79,181,1995-10-25,2,38,2016,False
Diamond Stone,2016-2017,19.0,2,1448720.0,724360.0,1,2015-16,83,255,1997-02-10,2,40,2016,False
Marcus Paige,2016-2017,22.0,2,1448720.0,724360.0,1,2015-16,73,175,1993-09-11,2,55,2016,False
James Webb III,2016-2017,22.0,2,1448720.0,724360.0,1,2015-16,81,202,1993-08-19,0,0,0,True
Gary Payton II,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,75,190,1992-12-01,0,0,0,True
Gary Payton II,2016-2017,24.0,2,1347777.0,673889.0,1,2015-16,75,190,1992-12-01,0,0,0,True
Isaiah Taylor,2016-2017,22.0,2,1448720.0,724360.0,1,2015-16,75,170,1994-07-11,0,0,0,True
Kyle Wiltjer,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,82,240,1992-10-20,0,0,0,True
Ryan Arcidiacono,2016-2017,22.0,2,1448720.0,724360.0,1,2015-16,75,195,1994-03-26,0,0,0,True
Matt Costello,2016-2017,22.0,2,1448720.0,724360.0,1,2015-16,81,245,1993-08-05,0,0,0,True
Shawn Long,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,81,255,1993-01-29,0,0,0,True
Brandon Paul,2016-2017,25.0,2,1448720.0,724360.0,1,2015-16,76,200,1991-04-30,0,0,0,True
Kyle Collinsworth,2016-2017,24.0,2,1448720.0,724360.0,1,2015-16,78,210,1991-10-03,0,0,0,True
Jarrod Uthoff,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,81,221,1993-05-19,0,0,0,True
Jarrod Uthoff,2016-2017,22.0,2,1360564.0,680282.0,1,2015-16,81,221,1993-05-19,0,0,0,True
Tim Quarterman,2016-2017,21.0,2,1448720.0,724360.0,1,2015-16,78,195,1994-10-27,0,0,0,True
Troy Williams,2016-2017,21.0,2,1448720.0,724360.0,1,2015-16,79,218,1994-12-30,0,0,0,True
Damion Lee,2016-2017,23.0,2,1448720.0,724360.0,1,2015-16,77,210,1992-10-21,0,0,0,True
Ron Baker,2016-2016,23.0,1,543471.0,543471.0,1,2015-16,76,220,1993-03-30,0,0,0,True
Yogi Ferrell,2016-2016,23.0,1,543471.0,543471.0,1,2015-16,72,178,1993-05-09,0,0,0,True
Jameel Warney,2016-2016,22.0,1,543471.0,543471.0,1,2015-16,80,260,1994-01-31,0,0,0,True
Chasson Randle,2016-2016,23.0,1,543471.0,543471.0,1,2015-16,74,185,1993-02-05,0,0,0,True
Alex Poythress,2016-2016,22.0,1,543471.0,543471.0,1,2015-16,81,235,1993-09-06,0,0,0,True
Alex Poythress,2016-2016,23.0,1,6394.0,6394.0,1,2015-16,81,235,1993-09-06,0,0,0,True
Jalen Jones,2016-2016,23.0,1,543471.0,543471.0,1,2015-16,79,220,1993-05-27,0,0,0,True
Markelle Fultz,2017-2020,19.0,4,37400017.0,9350004.0,1,2016-17,75,209,1998-05-29,1,1,2017,False
Lonzo Ball,2017-2020,19.0,4,33471622.0,8367906.0,1,2016-17,78,190,1997-10-27,1,2,2017,False
Jayson Tatum,2017-2020,19.0,4,30073320.0,7518330.0,1,2016-17,80,210,1998-03-03,1,3,2017,False
Josh Jackson,2017-2019,20.0,4,27121282.0,6780321.0,1,2016-17,80,207,1997-02-10,1,4,2017,False
De'Aaron Fox,2017-2020,19.0,4,24572507.0,6143127.0,1,2016-17,75,185,1997-12-20,1,5,2017,False
Jonathan Isaac,2017-2020,19.0,4,22324406.0,5581102.0,1,2016-17,83,230,1997-10-03,1,6,2017,False
Lauri Markkanen,2017-2020,20.0,4,20389668.0,5097417.0,1,2016-17,84,240,1997-05-22,1,7,2017,False
Frank Ntilikina,2017-2020,18.0,4,18689218.0,4672305.0,1,2016-17,76,200,1998-07-28,1,8,2017,False
Dennis Smith Jr.,2017-2020,19.0,4,17188557.0,4297139.0,1,2016-17,74,205,1997-11-25,1,9,2017,False
Zach Collins,2017-2020,19.0,4,16332615.0,4083154.0,1,2016-17,83,250,1997-11-19,1,10,2017,False
Malik Monk,2017-2020,19.0,4,15726047.0,3931512.0,1,2016-17,75,200,1998-02-04,1,11,2017,False
Luke Kennard,2017-2020,21.0,4,15135546.0,3783887.0,1,2016-17,77,206,1996-06-24,1,12,2017,False
Donovan Mitchell,2017-2020,20.0,4,14564021.0,3641005.0,1,2016-17,73,215,1996-09-07,1,13,2017,False
Bam Adebayo,2017-2020,19.0,4,14015772.0,3503943.0,1,2016-17,81,255,1997-07-18,1,14,2017,False
Justin Jackson,2017-2020,22.0,4,13484010.0,3371003.0,1,2016-17,80,220,1995-03-28,1,15,2017,False
Justin Patton,2017-2020,20.0,4,12814166.0,3203542.0,1,2016-17,83,241,1997-06-14,1,16,2017,False
Guerschon Yabusele,2017-2019,21.0,4,12814166.0,3203542.0,1,2016-17,80,260,1995-12-17,1,16,2016,False
John Collins,2017-2020,19.0,4,11059862.0,2764966.0,1,2016-17,81,235,1997-09-23,1,19,2017,False
Harry Giles,2017-2020,19.0,4,10621750.0,2655438.0,1,2016-17,83,240,1998-04-22,1,20,2017,False
Terrance Ferguson,2017-2020,19.0,4,10323693.0,2580923.0,1,2016-17,78,190,1998-05-17,1,21,2017,False
Jarrett Allen,2017-2020,19.0,4,10034582.0,2508646.0,1,2016-17,83,243,1998-04-21,1,22,2017,False
OG Anunoby,2017-2020,19.0,4,9751975.0,2437994.0,1,2016-17,79,232,1997-07-17,1,23,2017,False
Tyler Lydon,2017-2020,21.0,4,9476369.0,2369092.0,1,2016-17,82,225,1996-04-09,1,24,2017,False
Furkan Korkmaz,2017-2020,19.0,4,8904867.0,2226217.0,1,2016-17,79,202,1997-07-24,1,26,2016,False
Caleb Swanigan,2017-2020,20.0,4,8904867.0,2226217.0,1,2016-17,81,260,1997-04-18,1,26,2017,False
Kyle Kuzma,2017-2020,21.0,4,8650178.0,2162545.0,1,2016-17,81,221,1995-07-24,1,27,2017,False
Tony Bradley,2017-2020,19.0,4,8598860.0,2149715.0,1,2016-17,82,248,1998-01-08,1,28,2017,False
Derrick White,2017-2020,23.0,4,8536124.0,2134031.0,1,2016-17,76,190,1994-07-02,1,29,2017,False
Josh Hart,2017-2020,22.0,4,8474999.0,2118750.0,1,2016-17,77,215,1995-03-06,1,30,2017,False
Zhou Qi,2017-2020,21.0,4,5565327.0,1391332.0,1,2016-17,85,210,1996-01-16,2,43,2016,False
Davon Reed,2017-2020,22.0,4,5565327.0,1391332.0,1,2016-17,77,208,1995-06-11,2,32,2017,False
Semi Ojeleye,2017-2019,22.0,3,4288654.0,1429551.0,1,2016-17,78,240,1994-12-05,2,37,2017,False
Frank Mason III,2017-2019,22.0,3,4183191.0,1394397.0,1,2016-17,71,190,1994-04-03,2,34,2017,False
Damyean Dotson,2017-2019,23.0,3,4096762.0,1365587.0,1,2016-17,77,210,1994-05-06,2,44,2017,False
Ivan Rabb,2017-2019,20.0,3,3946762.0,1315587.0,1,2016-17,82,220,1997-02-04,2,35,2017,False
Ike Anigbogu,2017-2019,18.0,3,3946762.0,1315587.0,1,2016-17,82,250,1998-10-17,2,47,2017,False
Frank Jackson,2017-2019,19.0,3,3812377.0,1270792.0,1,2016-17,75,205,1998-05-04,2,31,2017,False
Dwayne Bacon,2017-2019,21.0,3,3812377.0,1270792.0,1,2016-17,78,221,1995-08-30,2,40,2017,False
Dillon Brooks,2017-2019,21.0,3,3812377.0,1270792.0,1,2016-17,79,225,1996-01-22,2,45,2017,False
Sterling Brown,2017-2019,22.0,3,3812377.0,1270792.0,1,2016-17,77,219,1995-02-10,2,46,2017,False
Sindarius Thornwell,2017-2019,22.0,3,3812377.0,1270792.0,1,2016-17,76,215,1994-11-15,2,48,2017,False
Dakari Johnson,2017-2018,21.0,2,2193857.0,1096929.0,1,2016-17,84,255,1995-09-22,2,48,2015,False
Jordan Bell,2017-2018,22.0,2,2193857.0,1096929.0,1,2016-17,80,216,1995-01-07,2,38,2017,False
Jawun Evans,2017-2018,20.0,2,2193857.0,1096929.0,1,2016-17,72,185,1996-07-26,2,39,2017,False
Tyler Dorsey,2017-2018,21.0,2,2193857.0,1096929.0,1,2016-17,77,183,1996-02-18,2,41,2017,False
Thomas Bryant,2017-2018,19.0,2,2193857.0,1096929.0,1,2016-17,82,248,1997-07-31,2,42,2017,False
Cameron Oliver,2017-2018,20.0,2,2193857.0,1096929.0,1,2016-17,80,239,1996-07-11,0,0,0,True
